bs_id,latitude,longitude,total_duration(s),unique_users,lambda
BS_411,31.023241,121.226517,587520,57,0.037158
BS_412,31.023300,121.247714,82980,14,0.005248
BS_413,31.023331,121.315006,2187720,129,0.138365
BS_414,31.023776,121.315484,7380,1,0.000467
BS_415,31.023902,121.350511,1587720,80,0.100417
BS_416,31.024417,121.471297,4493880,170,0.284221
BS_417,31.024911,121.255017,2840880,157,0.179675
BS_418,31.024958,120.918706,707160,121,0.044725
BS_419,31.025227,121.442510,21998640,231,1.391333
BS_420,31.025516,121.301690,538320,7,0.034047
BS_421,31.025763,121.541983,7191780,180,0.454854
BS_422,31.026816,121.426094,5803800,166,0.367069
BS_423,31.027984,121.267724,99840,6,0.006315
BS_424,31.028770,121.456878,1438080,6,0.090953
BS_425,31.030308,121.650922,9045660,133,0.572105
BS_426,31.030352,120.990008,28140,7,0.001780
BS_427,31.030356,121.535809,16300620,97,1.030954
BS_428,31.030606,121.225475,347640,31,0.021987
BS_429,31.030657,121.236586,3734280,132,0.236179
BS_430,31.030806,121.396875,2967360,68,0.187675
BS_431,31.031203,121.650090,16858500,58,1.066238
BS_432,31.031459,121.300841,10415400,62,0.658736
BS_433,31.032045,121.783775,6869340,61,0.434460
BS_434,31.032565,121.409407,21648240,95,1.369171
BS_435,31.033330,121.427385,14636700,229,0.925717
BS_436,31.033659,121.577846,4090020,103,0.258679
BS_437,31.034225,121.254609,106080,1,0.006709
BS_438,31.034322,121.601024,9861780,104,0.623721
BS_439,31.035151,121.544702,669180,54,0.042323
BS_440,31.035254,121.521118,300,1,0.000019
BS_441,31.035283,121.246093,6868740,106,0.434422
BS_442,31.035335,121.117893,4846620,56,0.306531
BS_443,31.036007,121.465390,1744320,10,0.110322
BS_444,31.036404,121.272345,6708900,223,0.424313
BS_445,31.036429,121.324198,3687420,122,0.233216
BS_446,31.036623,121.377512,4690500,109,0.296657
BS_447,31.036987,121.386554,14243280,135,0.900835
BS_448,31.037068,121.686977,2206140,101,0.139530
BS_449,31.037320,121.189630,4606680,202,0.291355
BS_450,31.037985,121.752781,4623600,65,0.292426
BS_451,31.038201,121.216468,20446320,166,1.293154
BS_452,31.038291,121.194794,15966900,178,1.009847
BS_453,31.038725,121.464203,5732460,84,0.362557
BS_454,31.038799,121.216584,73440,2,0.004645
BS_455,31.038898,121.239840,417780,71,0.026423
BS_456,31.038911,121.226883,3060420,141,0.193560
BS_457,31.038935,121.465427,2760,1,0.000175
BS_458,31.038964,121.226100,157020,21,0.009931
BS_459,31.039072,121.593700,3480,1,0.000220
BS_460,31.039155,121.241352,186780,20,0.011813
BS_461,31.039158,121.239632,8245980,152,0.521528
BS_462,31.039193,121.604274,14449020,113,0.913847
BS_463,31.039301,121.593594,10695060,86,0.676423
BS_464,31.039411,121.819385,2151540,41,0.136077
BS_465,31.039424,121.225364,153300,14,0.009696
BS_466,31.039725,121.225427,807840,52,0.051093
BS_467,31.039823,121.280347,99600,1,0.006299
BS_468,31.039851,121.603151,117300,8,0.007419
BS_469,31.040309,121.308498,5736720,193,0.362826
BS_470,31.040378,121.255563,24437220,281,1.545564
BS_471,31.040408,121.204524,38040,9,0.002406
BS_472,31.041182,121.739041,7268940,46,0.459734
BS_473,31.041390,121.741651,7747920,76,0.490027
BS_474,31.041762,120.928733,2791380,99,0.176544
BS_475,31.042021,121.204506,11129040,127,0.703871
BS_476,31.042056,121.720903,10804740,81,0.683360
BS_477,31.042149,121.539262,8050080,73,0.509138
BS_478,31.042348,121.289110,1539720,96,0.097382
BS_479,31.042415,121.482986,4772820,52,0.301863
BS_480,31.043159,121.420296,2559120,84,0.161855
BS_481,31.043246,120.924071,365580,38,0.023122
BS_482,31.043466,121.004091,52080,9,0.003294
BS_483,31.044065,121.537499,1365420,66,0.086358
BS_484,31.044667,121.461910,15567540,235,0.984589
BS_485,31.044697,121.224620,534900,50,0.033830
BS_486,31.045068,121.232113,2014320,75,0.127398
BS_487,31.045101,121.223676,8912880,210,0.563707
